post_id,user_id,created_at,content,is_deleted,source,week,label,content_translated,theme_score_corruption,theme_score_nationalist,theme_score_pro_freedom,theme_primary
mU5j0F6avM,uONPCGKZL,2012-01-02 23:59:24+00:00,蔡英文在元旦祝词中用了这样一段话：我要把台湾打造成为一个团结而有公义的社会，这样的政府不会用推土机辗过人民的土地；不会用白色恐怖的手段来对付政敌；不会将公共资源私相授受；不会用金钱和政治力来控制媒体。也不会牺牲人权来换取短期的利益...,FALSE,weiboscope,1,,"In its New Year's message, Choi English used the phrase: I want to make Taiwan a united and just society, a government that does not run over people's land with bulldozers; does not use white terror against political opponents; does not provide private access to public resources; and does not control the media with money and political power. And not to sacrifice human rights for short-term benefit...",0.33818042278289795,0.311830997,1.2980307817459107,pro_freedom
m9IpsmF0C8,uPKFL33HE,2012-01-02 12:51:03+00:00,【射手坐怎样克服相爱距离】异地恋中的任何阻碍都能被TA看成对真爱的考验，并且TA也有信心通过这些阻碍。最重要的是异地恋能给TA最喜爱的自由，可以恋爱，也可以有自己的小天地。应该多用关心的态度去了解远在他方的射手的生活状况，过得不好就要多给予关心和帮助，若是过得太逍遥就要多给些提醒。,FALSE,weiboscope,1,,"Any obstacle in a foreign relationship can be seen by TA as a test of true love, and TA is confident that it will pass. The most important thing is that exotic love gives the TA's favorite freedom to fall in love and have its own little world. More care should be taken to understand the living conditions of shooters far from home, more care and help if they are to live too far away, and more warning if they are to go too far.",0.15562555193901062,0.000859788,1.2951871037483216,pro_freedom
mpbgQTAztU,uSIAH0D2M,2012-01-02 08:05:49+00:00,一个人的尊严归根结底是由他自己决定的！如果是个文明体面的人，无论他是中国人还是外星人，走到哪儿都会被尊重[哈哈],FALSE,weiboscope,1,,"It's up to him! If he was a civilized man, whether he was Chinese or alien, he would be respected everywhere.",0.07339637,0.015295289,0.9983736276626587,pro_freedom
mQW03wQnL8,uWWBH0OQN,2012-01-02 02:09:51+00:00,二零一二年第一個搏晒命嘅晚餐! [馋嘴][嘻嘻],FALSE,weiboscope,1,,First dinner in '02!,0.43316829204559326,0.28921329975128174,0.9968728423118591,pro_freedom
mkp0iUMhbZ,uKB5WULWG,2012-01-02 13:31:14+00:00,每个女人都希望自己能有傲人的曲线~,FALSE,weiboscope,1,,Every woman wants to have a proud curve.,0.2784760892391205,0.00552802,0.9965876936912537,pro_freedom
mcrPGvUbRk,uS5WC5RUP,2012-01-02 09:00:14+00:00,为了生存，我变的很丑。,FALSE,weiboscope,1,,"To survive, I got ugly.",0.25398117303848267,0.14337128400802612,0.9962369203567505,pro_freedom
mjBQUvIzJN,u3JHA1VA4,2012-01-02 18:45:04+00:00,在路途上想起爱来，觉得最好的爱是两个人彼此做个伴。不要束缚，不要缠绕，不要占有，不要渴望从对方的身上挖掘到意义，那是注定要落空的东西。而应该是，我们两个人，并排站在一起，看看这个落寞的人间。,FALSE,weiboscope,1,,"Thinking of love on the way, thinking that the best love is for two people to be with each other. No restraints, no entanglements, no possessions, no desire to excavate meaning from the other, which is destined to fail. Instead, the two of us, standing side by side, look at the rest of us.",0.511551023,0.033543158,0.9955039620399475,pro_freedom
mc93rY7R23,uPVDDQLUO,2012-01-02 14:20:52+00:00,别人可以替你开车，但不能替你走路；可以替你做事，但不能替你感受。人生的路要靠自己行走，成功要靠自己去争取。天助自助者，成功者自救。,FALSE,weiboscope,1,,"People can drive for you, but not for you; they can work for you, but they can't feel for you. The path of life depends on its own, and success depends on it. And those who help themselves by heaven, and those who succeed save themselves.",0.28643617033958435,0.16561003029346466,0.9945942759513855,pro_freedom
mqJrVB2hb6,uP2ZKPZ20,2012-01-02 23:55:36+00:00,http://t.cn/SVWAfP elva《逞强》以钢琴为主旋律，歌词很有诉说感…不妨听一听[呵呵],FALSE,weiboscope,1,,http://t.cn/SVWAfP elva's piano is the main melody.,0.29505816102027893,0.001070649,0.9927300810813904,pro_freedom
mEjngaOyeh,uR1WL1P0V,2012-01-02 11:53:38+00:00,勇敢地冒一冒险，赢了，固然会开心；输了，也能学着变聪明。,FALSE,weiboscope,1,,"If you take a risk and win, you'll be happy; if you lose, you'll learn to be smart.",0.012667383067309856,0.004906351,0.9925121068954468,pro_freedom
mH44EU0GVr,uQHCEVENO,2012-01-03 12:12:32+00:00,"""《求是》刊文谈国内道德状况 称总体上进步向善"" 长篇大论。 http://t.cn/Sibdup 放屁是不用睁眼的[奥特曼]",FALSE,weiboscope,1,,"""Supreme is about the state of ethics in the country, about progress to good in general."" http://t.cn/Sibdup.",0.018471164628863335,0.003475951,0.9908929467201233,pro_freedom
mAaBg9IUQE,uR1WL1P0V,2012-01-02 21:47:41+00:00,我跟自己说好，要活得真实，不管别人怎么看我，就算全世界否定我，我还有我自己相信我。我跟自己说好，要过的快乐，无需去想是否有人在乎我，一个人也可以很精彩。我跟自己说好，悲伤时可以哭的很狼狈，很狼狈，眼泪流干后，要抬起头笑得很漂亮。—— 《与自己的约定》,FALSE,weiboscope,1,,"I told myself to live real life, no matter how people look at me, even if the world denies me, I and myself trust me. I promised myself I'd be happy, and I don't have to think about anyone who cares about me. I said to myself, ""It's so bad to cry when you're sad, it's so bad, it's so bad to cry and it's so good to laugh."" — Agreement with oneself",0.3595132827758789,0.002224363,0.9903753995895386,pro_freedom
mu9iTlfCkF,uRSRHOLUG,2012-01-03 10:59:43+00:00,#火车票实名制#你订到回家的车票了吗?,FALSE,weiboscope,1,,Do you have a ticket for home?,0.10240737348794937,0.075545087,0.9901309609413147,pro_freedom
mU5j5pN2d5,u0YUM2RNY,2012-01-02 16:46:30+00:00,"好幸福阿[抓狂]//@uKPK1YNGV：  [抓狂] //@ukn： 欸 幹嘛不從腋下那邊抱,他左手夾起來可以乘機...[猥瑣][偷笑]// @ukn： : [抱枕][抱枕]// @ukn： : 感觉都要抱起来了，太幸福了吧。。[抓狂]// @uRSRDWAWI： : [偷笑][偷笑][偷笑]",FALSE,weiboscope,1,,"So happy [crazy]//@uKPK1YNGV: [crazy] / / @ukn: Hey, why don't you hug him from under the armpit and he can take the opportunity... [smuggling] [smuggling]/ @ukn: [crowding] [bleeping]/ / @ukn: It's too happy to feel like it's coming. [crazy]/@uRSRDWAWI: [smuggling] [smuggling]",0.14111073315143585,0.012832277,0.9900006055831909,pro_freedom
mwQFPLLdvi,uLCMK0LGO,2012-01-02 10:09:05+00:00,實至名歸!!!//@uZNJAWEUH：    :記得05年在香港叱咤頒獎典禮上看到羅志祥得獎後的表演，令我覺得很驚訝！為什麼台灣出了一個那麼捧的舞台皇者？在香港的新一代已經很難找得到這樣的人才。在2011年台灣倒數能和你同台演出實在難得。希望有機會我們在舞台上合作，來個勁爆的舞會，讓所有愛跳舞的樂迷high翻天,FALSE,weiboscope,1,,"Remarkable! : Remember I was surprised when I saw Rho Zhiqiang's award-winning performance at the Hong Kong Festival in '05! The new generation in Hong Kong is already hard to find. In 2011, the last number of people in Taiwan who were able to perform with you was rare. I hope we can work together on the stage and have a big party and turn all the dancing fans up.",0.5548303723335266,0.045939181,0.9873939752578735,pro_freedom
mNTxsDdjxF,uONPETMOB,2012-01-02 21:36:18+00:00,今日放假終於可以舒舒服服在家中.[嘻嘻],FALSE,weiboscope,1,,Today's vacation can finally be comfortable at home.,0.2839300036430359,0.007548207,0.9853476881980896,pro_freedom
mNlgGntJyf,uFAOPZVJ,2012-01-02 00:08:24+00:00,这么多人解出来了，新年给自己打气呢？ //@uYC33EUED： 这个太有意思了，快来算算吧，对照正确答案，5分钟内答对的智商高于一般人。,FALSE,weiboscope,1,,"So many people solved it. What about New Year's? / @uYC33EUED: This is so interesting. Let's figure this out. Against the right answer, the correct IQ is higher in five minutes.",0.6032785177230835,0.025420203804969788,0.9803566336631775,pro_freedom
mdO3lN364k,uCBTJGAUP,2012-01-02 22:50:46+00:00,握手握手!,FALSE,weiboscope,1,,Shake hands!,0.5488072633743286,0.11489351093769073,0.9768261909484863,pro_freedom
mjBQecKMKB,uZNDNGS5T,2012-01-02 23:20:16+00:00,裸奔的男人们你伤不起.....,FALSE,weiboscope,1,,You can't hurt naked men...,0.31651169061660767,0.094512567,0.9723531603813171,pro_freedom
mgkVSqWNJ,uK3R02NWH,2012-01-02 20:49:34+00:00,让人放松舒服的一天[呵呵],FALSE,weiboscope,1,,It's a day to relax.,0.2526758313179016,0.003511662,0.9715416431427002,pro_freedom
m3zb0n7IIb,u0YUM2RNY,2012-01-03 00:48:50+00:00,他對SFC比較有安全感[心],FALSE,weiboscope,1,,He's more secure with SFC.,0.5053717494010925,0.005523847,0.9701381921768188,pro_freedom
mne7RN0JOf,uZNJA3R2M,2012-01-02 20:27:43+00:00,在紅館！！好興奮啊！！[鼓掌],FALSE,weiboscope,1,,In the red house! I'm so excited!,0.3962268531322479,0.26605379581451416,0.9692426323890686,pro_freedom
mF8MxvsJw5,uRUHZL4C,2012-01-03 08:17:02+00:00,骄傲的坐骑。这怎么训练的啊？？,FALSE,weiboscope,1,,Proud to ride. How does this train?,0.3112116754055023,0.045507874339818954,0.9671345949172974,pro_freedom
mzHa6qUWrp,u0VP2NYGX,2012-01-02 01:43:35+00:00,《走向海洋》真不错，求OST！,FALSE,weiboscope,1,,"It's great to go to the ocean, OST!",0.22313262522220612,0.002453621,0.9667226672172546,pro_freedom
mkp0akQXLq,uVEQ5ANOF,2012-01-03 01:04:13+00:00,[红包]祝福你//@uB4GX24QK：  老师我们会一如既往关注您滴！//@uVEQ5ANOF： 祝大家——我关注的和关注我的所有朋友新年快乐，事业有成，发发发发！！！!,FALSE,weiboscope,1,,"[Red Pack] Bless you. / @uVEQ5ANOF: May all of you — Happy New Year for all my friends and friends who are interested in me, successful and hairy!",0.086798579,0.000878294,0.9645098447799683,pro_freedom
mqJrZdYv7z,u0YUM2RNY,2012-01-02 00:30:56+00:00,[鼓掌],FALSE,weiboscope,1,,[ Applause ],0.6055837273597717,0.1454513818025589,0.9644027352333069,pro_freedom
