post_id,user_id,created_at,content,is_deleted,source,week,label,content_translated,theme_score_corruption,theme_score_nationalist,theme_score_pro_freedom,theme_primary
mAaBg6KRxf,u3JHAM1VX,2012-01-02 19:20:06+00:00,邪恶童话啊，加上七个小矮人就完美了【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,Evil fairy tales and seven dwarfs are perfect.,0.2920512557029724,0.6948607563972473,0.389566570520401,nationalist
mVQIkkK59k,u3JHAM1VX,2012-01-02 18:20:09+00:00,一语惊醒梦中人！【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,It's a wake-up call for dreamers!,0.5532854199409485,0.5092262029647827,0.8491150736808777,pro_freedom
mTStCtFH3K,u3JHAM1VX,2012-01-02 17:20:06+00:00,这是一个古老的传说！【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,It's an old legend!,0.004177556838840246,0.005617310293018818,0.7198159098625183,pro_freedom
mB1USaLdUn,u3JHAM1VX,2012-01-02 16:20:08+00:00,把你的手放好，别什么都想拿！【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,Put your hands away and don't take anything!,0.4095534682273865,0.20667041838169098,0.9978419542312622,pro_freedom
mkTNUwa2sl,u3JHAM1VX,2012-01-02 15:48:44+00:00,给这两天没留意微博的粉丝转的,False,weiboscope,1,,A fan who hasn't watched us for two days.,0.4529934525489807,0.12771187722682953,0.6001206040382385,pro_freedom
mRck11RNSD,u3JHAM1VX,2012-01-02 15:20:04+00:00,这是一个悲伤的故事....【VIA:@uVEQ3YZWX： 】【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,It's a sad story...,0.530613362789154,0.6273417472839355,0.0005708334501832724,nationalist
mxAW8CHIHU,u3JHAM1VX,2012-01-02 14:20:04+00:00,【#大喝将军# 】顺序【哥们儿，你太心急了】【VIA： @搞笑的鞋带儿】【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,# General #,0.38904863595962524,0.5119592547416687,0.47471851110458374,tie
mgwtqEFi1R,uDSGGUNU,2012-01-02 21:26:14+00:00,话术很重要!好人出在嘴上!,False,weiboscope,1,,Words are important! Good people come out of their mouths!,0.4245404005050659,0.0018509076908230782,0.7446948289871216,pro_freedom
mJKbGxFeuq,u3JHAM1VX,2012-01-02 13:20:05+00:00,连是我们结婚纪念日的今天你也不能考虑我提的要求吗？#三冷行有我湿#系列【VIA@-龍見】【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,Can't you even consider my request on our anniversary? # Three Cold Lines I'm Wet #,0.35840457677841187,0.027717676013708115,0.682409942150116,pro_freedom
mcyE8SaJpW,u3JHAM1VX,2012-01-02 12:20:05+00:00,#暴走漫画#龙门飞甲之谜【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,@HOTCalms,0.0027170192915946245,0.44287702441215515,0.937100887298584,pro_freedom
mjxSi1BTlh,u3JHAM1VX,2012-01-02 11:20:06+00:00,#暴走漫画#电梯里总是笑料多【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,There's always a lot of laughs in the elevator.,0.016590310260653496,0.05416449159383774,0.8628911972045898,pro_freedom
mgYsPjkqXc,u3JHAM1VX,2012-01-02 10:20:10+00:00,#暴走漫画#隔行如隔山……【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,#Scattered Comics # # Separated like mountains #,0.1557539403438568,0.9165974259376526,0.7977419495582581,nationalist
mFLhLkmuQR,u3JHAM1VX,2012-01-02 10:18:43+00:00,"呜呼，2012年来临，我终于领到微博方舟船票勋章了！规则so easy,只要手机绑定微博即可。快猛击链接，和我一起带上微博登船!http://weibo.com/z/2012/",False,weiboscope,1,,"Whoo-hoo, I finally got the Microbow Ark ticket! Rule so easy, just the phone. Quick-shock link, and take me to the wibo board! http://wiibo.com/z/2012/",0.5074532628059387,0.33004555106163025,0.6466501951217651,pro_freedom
mUS9du2Wip,u3JHAM1VX,2012-01-02 09:20:09+00:00, #叫兽系列#【贱到家的漫画】我强烈认为哆啦a梦应该让叫兽来演。 【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,I strongly believe that Dora dream should be played by the Beast. @HOT,0.2251521646976471,0.30375176668167114,0.07381338626146317,nationalist
mLLmiqpSQy,u3JHAM1VX,2012-01-02 08:55:17+00:00,时间刚刚好，恰恰你来到。【VIA: @辉仔漫画】【转发分享快乐，关注@HOT漫画】,False,weiboscope,1,,It's just good time you came. VIA: @Hii Manga,0.44747358560562134,0.2628903388977051,0.7997161149978638,pro_freedom
m3eHTTciXR,u3JHAM1VX,2012-01-02 00:09:44+00:00,终于发布完毕！感谢各位的支持！最后结局不是我吊胃口，而是我花了接近10分钟都没办法发布出去，最后用皮皮发布的！各位没开始看的可以看完才睡，胆小的就明天看吧!,False,weiboscope,1,,"Finally! Thank you all for your support! It wasn't my appetite that ended, but it took me almost 10 minutes to get it out. If you don't start watching, you can go to bed tomorrow.",0.5014874935150146,0.32440420985221863,0.4221579432487488,corruption
mRsOts5RgC,u3JHAM1VX,2012-01-02 00:06:10+00:00,【强烈推荐】【连载结束】【相册已经全部连载完毕】【#心理恐怖－妈妈#】【第26回 下】【转发分享快乐，关注@ukn： http://t.cn/SJM85E ,False,weiboscope,1,,It's over.,0.4619736075401306,0.43203744292259216,0.0008378328639082611,tie
