post_id,op_content
unknown_1,"In its New Year's message, Choi English used the phrase: I want to make Taiwan a united and just society, a government that does not run over people's land with bulldozers; does not use white terror against political opponents; does not provide private access to public resources; and does not control the media with money and political power. And not to sacrifice human rights for short-term benefit..."
unknown_27,Let go of that woman. Let me do it.
unknown_36,I squirt you.
unknown_42,"Answer @ukn: That's when he spoke to his son and said, ""Who is against Zhou Eun and who is not patriotic. Great fool education! / @ukn: Not just teacher education, but the content of books. Language classes are the most hidden and true ideological politics classes."
unknown_52,/ / / @uII5MIV2H: Let's pray for the child// @u02LNVX4J: / @ukn: / /@uonPG1IH2: / @uII5MIV2H: Bring the child home early/ / @ukn: Help him/ / @uWBLDV: Help the poor child / / @uHFOWJQJ: @uM1UHBIL: @uQCZ4VDK: @uAHFOWJJJ: @baby home
unknown_57,Let's get out of here.
unknown_73,"Dragon Counter: You can choose to be an officer, you can choose to earn money, but you can't choose to earn money by being an official; you can choose to play with women, but you can't choose to play with women in politics; you can choose to be a saint or you can choose to be a common man, but you can't choose to make people worship you like a saint and forgive you as a common man. The only thing that wants power is not to be restrained is to be a bully, but to enjoy not to be obliged is a hooligan."
unknown_96,[crazy]/@uKPK1YNGV: [crazy]//@uNEGOIOUP: //@ukn: [crazy]
unknown_98,"[crazy] / @uW0E5E55V: How long can you last on Earth when the cameraman takes the risk of his life, the media doesn't dare to send it?"
unknown_104,Suddenly I wanted to have a big dinner and play and eat.
unknown_106,It's been two months.
unknown_108,We have to turn! [To] [to] [to] [to] [to] [to] [to] [to]] [to] [to] [to] [ to] [ to] [ to] [ to]] [ to] [ to] [ to] [ to] [ to]]
unknown_112,"We need such a president, at least in human words. What do we leave behind after a hundred years? / @uCBTOJUJ0: / / @uZNJUDPC3 : For a hundred years, the road is blue."
unknown_113,Forward!
unknown_132,"The college girls protested to the school: ""Why is the girls' dormitory closed at 10:30 and the boys' dormitory closed at 11:00?"" The Department's answer made them happy to leave: ""Men, of course, it's half an hour late to send you back."""
unknown_135,"/ @uLMIYG4V3: / / @ukn: ""There is something that cannot be monitored: the hearts of the people! If it explodes, it will be unstoppable! Before the break-up of the former Soviet Union, it was said that leaflets had been sent out in the square and the police had come to look at it, but it was just a white paper. The men who had sent the leaflets said, “Everyone knows what it says!”/ @ukn: Everyone knows what it wants to write."
unknown_138,And my sister wants to put herself on the podium.
unknown_142,"Boss, I'll sign up, too. Can I? We used to be powdered."
unknown_167,Zhao Gwang-min!
unknown_183,This is who I know. Come back!
unknown_258,"At the 2012 New Year ' s Eve, President Guo of the Chinese University of Mines (also known as the Secretary-General of Zou) announced the abolition of the hanging system and the adoption of a new system of voluntary multiple examinations for the highest grades as a graduation; in 2012, the University of Mines will install air conditioning in all dormitories to ensure cooling in summer and heating in winter. This record is at http://t.cn/SJ01at. You're still hesitant."
unknown_268,/ @uMSVA2RB: Please forward / / @ukn: forward tweet
unknown_286,http://t.cn/SiA4CD
unknown_350,/ / @ukn: Microblogging
unknown_365,/ / / @uONPD1EMC: / / @uOQLOEMB: / / @uHRVP3UH4: : 桐uLCMKCSS1: / @uPVDJZ4ZS: / / @uSIABEW2F: / / @uVEQLZQLV: / @uLUCK0RF0: / / @uCBTJLQHO: / / @uCBTJLQHO: : Help.
unknown_446,"Digging, 2012 Guo Mei-mi has appeared. Let's see what's coming."
unknown_464,Has he gone?
unknown_491,/ / / / / / / / uPVDLMRKD: Help him! Fujian News Broadcasting fm1036@fm996 Leena @ Quanzhou Volunteers @ 923 @ipunzhou City Voice @ @ipunzhou Pilgrim @Fuzhou Radio Zhuihai Voice @Fuzhou Radio @Fu & @Fu Zhu @day economic news @Anko @Hongji Gate @Yanmen Rain
